rpc	calls	tier	coupling	disposition
ORWDX DGNM	64	C-dialog	cprs-dialog-machine	legacy
TIU TEMPLATE GETBOIL	45	V	tiu-editor	legacy
ORQQPXRM DIALOG PROMPTS	42	C-dialog	cprs-dialog-machine	legacy
BEHOVM LIST	26	M		canonical
BGOTRG GETSUM	19	V	vuecentric-component	legacy
TIU TEMPLATE GETITEMS	18	V	tiu-editor	legacy
TIU TEMPLATE GETTEXT	18	V	tiu-editor	legacy
BGOUTL GETPARM	16	V	vuecentric-component	legacy
CIAVMRPC GETPAR	16	V	vuecentric-framework	legacy
BEHOUSCX HASKEYS	15	C		canonical
BEHOVM VALIDATE	11	C		canonical
ORWU DT	9	M		canonical
TIU DOCUMENTS BY CONTEXT	9	M		canonical
BGOCPTPR GETITEMS	8	V	vuecentric-component	legacy
BGOCPTPR GETCATS	7	V	vuecentric-component	legacy
CIAVMRPC STRTODAT	7	M	vuecentric-framework	canonical
ORIMO IMOLOC	7	M		canonical
BGOVPOV GET	6	M		canonical
CIAVMRPC SETVAR	6	V	vuecentric-framework	legacy
ORWDXM3 ISUDQO	6	C-dialog	cprs-dialog-machine	legacy
ORWGRPC ALLVIEWS	6	V	cprs-chrome	legacy
BEHOTIU RDLGACC	5	C		canonical
BGOUTL SETPARM	5	V	vuecentric-component	legacy
BGOVCPT CPTLKUP	5	M		canonical
ORWDX UNLOCK ORDER	5	C		canonical
ORWU NPHASKEY	5	C		canonical
BEHOENCV LIST	4	M		canonical
BEHOUSCX USERINFO	4	M		canonical
BGOVHF GET	4	M		canonical
BGOVPED GET	4	M		canonical
BGOVPED2 GETPVED	4	M		canonical
OREVNTX1 DLGIEN	4	M		canonical
ORWDXM FORMID	4	C-dialog	cprs-dialog-machine	legacy
ORWORR GETBYIFN	4	M		canonical
ORWPCE NOTEVSTR	4	M		canonical
TIU AUTHORIZATION	4	C		canonical
TIU REQUIRES COSIGNATURE	4	C		canonical
APSPFNC2 ERXOI	3	M		canonical
APSPLIQ CHKLIQ	3	C		canonical
BEHOENP1 LOAD	3	M		canonical
BEHORXFN GETRXS	3	M		canonical
BGOPROB1 GETONE	3	M		canonical
BGOVEXAM GET	3	M		canonical
CIANBRPC CANRUN	3	C	vuecentric-framework	canonical
DDR GETS ENTRY DATA	3	M		canonical
ORDEA CSVALUE	3	C		canonical
OREVNTX1 GTEVT	3	M		canonical
OREVNTX1 ODPTEVID	3	M		canonical
ORIMO ISIVQO	3	M		canonical
ORWCH LOADSIZ	3	V	cprs-chrome	legacy
ORWCH SAVESIZ	3	V	cprs-chrome	legacy
ORWD DT	3	M		canonical
ORWDPS2 QOGRP	3	C-dialog	cprs-dialog-machine	legacy
ORWDX AGAIN	3	C-dialog	cprs-dialog-machine	legacy
ORWDX DLGDEF	3	C-dialog	cprs-dialog-machine	legacy
ORWDX SAVE	3	C		quarantine
ORWDXC ACCEPT	3	C		quarantine
ORWDXC DISPLAY	3	C		canonical
ORWDXIHS CLININD	3	M		canonical
ORWDXM1 BLDQRSP	3	C-dialog	cprs-dialog-machine	legacy
